Lethbridge CMA,0.5,b,4.5,d,↑,**,,46.3,a,,"1,595",b,"1,706",a,**,,6.7,c
Red Deer CMA,1.5,b,3.5,a,↑,22.6,d,20.5,a,-,"1,363",a,"1,414",a,10.1,a,5.8,b
"British Columbia 10,000+",1.9,a,3.5,a,↑,11.6,a,14.3,a,↑,"1,981",a,"2,065",a,4.5,b,3.6,b
Abbotsford-Mission CMA,1.1,a,2.8,a,↑,13.1,c,9.7,c,-,"1,493",a,"1,592",a,++,,5.3,d
Chilliwack CMA,1.3,a,3.0,b,↑,10.1,c,10.1,d,-,"1,402",a,"1,526",a,**,,**,
Kamloops CMA,1.4,a,1.2,a,-,14.7,c,17.6,a,↑,"1,531",a,"1,679",a,3.8,d,**,
Kelowna CMA,3.8,b,6.4,b,↑,23.8,a,29.6,a,↑,"1,935",a,"2,118",a,++,,2.4,c
Nanaimo CMA,2.9,a,2.2,a,↓,20.2,a,23.6,a,↑,"1,787",a,"1,910",a,3.0,c,3.5,c
Vancouver CMA,1.6,a,3.7,a,↑,9.1,a,11.6,a,↑,"2,314",a,"2,363",a,5.5,b,2.2,b
Victoria CMA,2.6,a,3.3,a,↑,14.6,a,18.8,a,↑,"1,993",a,"2,120",a,3.6,c,5.1,b
"Canada 10,000+",2.2,a,3.1,a,↑,12.5,a,12.8,a,↑,"1,447",a,"1,550",a,5.4,a,5.1,a
Canada CMAs,2.3,a,3.1,a,↑,12.4,a,12.8,a,↑,"1,491",a,"1,599",a,5.2,a,5.0,a
,,,,,,,,,,,,,,,,,,
§ 2025 and 2024 data are based on the 2021 census geographic definitions.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Quality Indicators:,,,,,,,,,,,,,,,,,,
a — Excellent  b — Very Good  c — Good  d — Poor (use with caution),,,,,,,,,,,,,,,,,,
** — Data suppressed,,,,,,,,,,,,,,,,,,
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Other Indicators:,,,,,,,,,,,,,,,,,,
↑ — Indicates the year-over-year change is a statistically significant increase,,,,,,,,,,,,,,,,,,
↓ — Indicates the year-over-year change is a statistically significant decrease,,,,,,,,,,,,,,,,,,
– — Indicates that the effective sample does not allow one to interpret any year-over-year change as being statistically significant,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: Rental Market Survey (CMHC),,,,,,,,,,,,,,,,,,
© 2025 Canada Mortgage and Housing Corporation,,,,,,,,,,,,,,,,,,
