,,,,,,,,,,,,,,,,,,
1.0 Rental Market Indicators - Privately Initiated Apartment Structures of Three Units and Over - Provinces and Major Centres,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Vacancy Rates (%),,,,,Turnover Rates (%),,,,,Average Rent Two Bedroom ($) (New and Existing Structures),,,,Percentage Change of Average Rent Two Bedroom From Fixed Sample (Existing Structures Only),,,
Greater Sudbury/Grand Sudbury CMA,2.1,b,2.5,b,-,19.8,a,17.2,a,↓,"1,114",a,"1,134",a,8.1,c,**,
Thunder Bay CMA,3.6,b,4.1,b,-,16.9,d,14.9,a,-,"1,075",a,"1,092",a,3.6,c,2.0,c
Toronto CMA,1.5,a,3.4,a,↑,9.5,a,8.0,a,↓,"1,562",a,"1,635",a,6.1,a,4.5,a
Windsor CMA,2.9,a,3.6,b,↑,17.4,a,14.5,a,↓,949,a,"1,027",a,7.7,c,8.7,b
"Manitoba 10,000+",3.1,a,3.8,a,↑,24.7,a,15.1,a,↓,"1,177",a,"1,215",a,3.1,a,2.9,a
Winnipeg CMA,3.1,a,3.8,a,↑,24.4,a,13.6,a,↓,"1,223",a,"1,262",a,3.1,a,3.0,a
"Saskatchewan 10,000+",8.4,a,7.1,a,↓,36.0,a,30.5,a,↓,"1,080",a,"1,104",a,1.0,a,1.1,a
Regina CMA,7.8,a,7.5,a,-,37.7,a,27.9,a,↓,"1,128",a,"1,152",a,-0.2,a,0.8,a
Saskatoon CMA,5.7,a,5.9,a,-,34.5,a,26.0,a,↓,"1,129",a,"1,166",a,2.0,a,2.0,a
"Alberta 10,000+",5.3,a,7.2,a,↑,31.0,a,27.4,a,↓,"1,235",a,"1,249",a,1.4,a,0.1,b
Calgary CMA,3.9,a,6.6,a,↑,33.3,a,29.9,a,↓,"1,305",a,"1,323",a,2.2,b,++,
Edmonton CMA,4.9,a,7.2,a,↑,29.4,a,25.0,a,↓,"1,257",a,"1,272",a,0.9,a,++,
Lethbridge CMA,4.7,a,5.6,a,↑,37.9,a,34.5,a,-,"1,009",a,"1,050",a,3.1,b,2.6,a
"British Columbia 10,000+",1.5,a,2.4,a,↑,15.7,a,13.4,a,↓,"1,468",a,"1,515",a,4.3,a,2.1,a
Abbotsford-Mission CMA,1.1,a,0.6,a,↓,17.2,a,9.8,a,↓,"1,137",a,"1,152",a,5.1,c,1.8,c
Kelowna CMA,2.7,b,2.1,a,-,20.8,d,19.5,a,-,"1,385",a,"1,391",a,2.1,c,3.1,d
Vancouver CMA,1.1,a,2.6,a,↑,13.6,a,11.8,a,↓,"1,748",a,"1,792",a,4.9,a,1.5,a
Victoria CMA,1.0,a,2.2,a,↑,20.8,a,18.4,a,↓,"1,448",a,"1,507",a,2.3,b,3.3,b
"Canada 10,000+",2.2,a,3.2,a,↑,17.3,a,14.0,a,↓,"1,077",a,"1,125",a,3.9,a,3.5,a
Canada CMAs,2.0,a,3.2,a,↑,17.1,a,13.5,a,↓,"1,113",a,"1,165",a,4.1,a,3.6,a
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Quality Indicators:,,,,,,,,,,,,,,,,,,
a – Excellent  b – Very Good  c – Good  d – Poor (Use with Caution),,,,,,,,,,,,,,,,,,
** – Data Suppressed,,,,,,,,,,,,,,,,,,
++ – Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).,,,,,,,,,,,,,,,,,,
N/A – Data not available,,,,,,,,,,,,,,,,,,
- – No units exist in the universe for this category,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: Rental Market Survey (CMHC),,,,,,,,,,,,,,,,,,
© 2021 Canada Mortgage and Housing Corporation,,,,,,,,,,,,,,,,,,
